Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
tcp        0      0 10.0.2.16:44106         142.251.208.238:443     ESTABLISHED
tcp        0      0 10.0.2.16:43490         10.0.2.3:853            TIME_WAIT  
tcp        0      0 10.0.2.16:42262         10.0.2.3:853            TIME_WAIT  
tcp6       0      0 [::]:5555               [::]:*                  LISTEN     
tcp6       1      0 ::ffff:10.0.2.16:60962  ::ffff:10.0.2.2:80      CLOSE_WAIT 
tcp6       0      0 ::ffff:10.0.2.16:39956  ::ffff:142.251.142.:443 ESTABLISHED
tcp6       0      0 ::ffff:10.0.2.16:51898  ::ffff:216.239.38.2:443 ESTABLISHED
tcp6       0      0 ::ffff:10.0.2.16:46292  ::ffff:216.239.36.2:443 ESTABLISHED
tcp6       0      0 ::ffff:10.0.2.16:44184  ::ffff:185.166.104.:443 ESTABLISHED
tcp6       0      0 ::ffff:10.0.2.16:39888  ::ffff:108.177.15.:5228 ESTABLISHED
tcp6       0      0 ::ffff:10.0.2.16:54132  ::ffff:216.239.32.2:443 ESTABLISHED
tcp6       1      0 ::ffff:10.0.2.16:43994  ::ffff:216.239.32.2:443 CLOSE_WAIT 
tcp6       0      0 ::ffff:10.0.2.16:46280  ::ffff:142.251.142.:443 ESTABLISHED
udp        0      0 10.0.2.16:34879         142.251.208.238:443     ESTABLISHED
udp     1280      0 10.0.2.16:68            10.0.2.2:67             ESTABLISHED
udp        0      0 0.0.0.0:59604           0.0.0.0:*                          
udp        0      0 0.0.0.0:5353            0.0.0.0:*                          
udp        0      0 0.0.0.0:5353            0.0.0.0:*                          
udp6       0      0 [::]:60511              [::]:*                             
udp6       0      0 [::]:5353               [::]:*                             
udp6       0      0 [::]:5353               [::]:*                             
udp6       0      0 [::]:5353               [::]:*                             
Active UNIX domain sockets (servers and established)
Proto RefCnt Flags       Type       State         I-Node   Path
unix  3      [ ]         SEQPACKET  CONNECTED     18893    
unix  3      [ ]         SEQPACKET  CONNECTED     32843    
unix  3      [ ]         SEQPACKET  CONNECTED     58761    
unix  3      [ ]         SEQPACKET  CONNECTED     33819    
unix  3      [ ]         SEQPACKET  CONNECTED     16371    
unix  2      [ ]         DGRAM      CONNECTED     32138    
unix  2      [ ]         DGRAM      CONNECTED     53836    
unix  3      [ ]         SEQPACKET  CONNECTED     34189    
unix  3      [ ]         SEQPACKET  CONNECTED     34111    
unix  3      [ ]         STREAM     CONNECTED     16065    /dev/socket/traced_producer
unix  2      [ ]         DGRAM                    18629    /data/system/unsolzygotesocket
unix  3      [ ]         STREAM     CONNECTED     48465    
unix  3      [ ]         SEQPACKET  CONNECTED     43476    
unix  3      [ ]         SEQPACKET  CONNECTED     31987    
unix  3      [ ]         STREAM     CONNECTED     34160    
unix  2      [ ]         DGRAM      CONNECTED     15985    
unix  3      [ ]         SEQPACKET  CONNECTED     57138    
unix  2      [ ]         DGRAM      CONNECTED     19176    
unix  2      [ ]         DGRAM      CONNECTED     60387    
unix  2      [ ]         DGRAM      CONNECTED     17232    
unix  3      [ ]         SEQPACKET  CONNECTED     43477    @jdwp-control
unix  2      [ ]         DGRAM      CONNECTED     12205    
unix  3      [ ]         SEQPACKET  CONNECTED     16360    
unix  2      [ ACC ]     STREAM     LISTENING     16304    /data/system/ndebugsocket
unix  3      [ ]         STREAM     CONNECTED     54957    
unix  3      [ ]         SEQPACKET  CONNECTED     31988    
unix  2      [ ]         DGRAM      CONNECTED     19171    
unix  3      [ ]         STREAM     CONNECTED     32085    @com.android.internal.os.WebViewZygoteInit/19e319c9-114c-441f-b07d-b2c1835cb54d
unix  3      [ ]         SEQPACKET  CONNECTED     30132    
