USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   10910236   3740 0                   0 S init
root             2     0          0      0 0                   0 S [kthreadd]
root             3     2          0      0 0                   0 I [rcu_gp]
root             4     2          0      0 0                   0 I [slub_flushwq]
root             5     2          0      0 0                   0 I [netns]
root             6     2          0      0 0                   0 I [kworker/0:0-virtio_vsock]
root             8     2          0      0 0                   0 I [kworker/u12:0-events_unbound]
root             9     2          0      0 0                   0 I [mm_percpu_wq]
root            10     2          0      0 0                   0 I [kworker/u12:1-flush-0:80]
root            11     2          0      0 0                   0 I [rcu_tasks_kthread]
root            12     2          0      0 0                   0 I [rcu_tasks_trace_kthread]
root            13     2          0      0 0                   0 S [ksoftirqd/0]
root            14     2          0      0 0                   0 I [rcu_preempt]
root            15     2          0      0 0                   0 S [rcub/0]
root            16     2          0      0 0                   0 S [rcu_exp_gp_kthread_worker]
root            17     2          0      0 0                   0 S [rcu_exp_par_gp_kthread_worker]
root            18     2          0      0 0                   0 S [migration/0]
root            20     2          0      0 0                   0 S [cpuhp/0]
root            21     2          0      0 0                   0 S [cpuhp/1]
root            22     2          0      0 0                   0 S [migration/1]
root            23     2          0      0 0                   0 S [ksoftirqd/1]
root            26     2          0      0 0                   0 S [cpuhp/2]
root            27     2          0      0 0                   0 S [migration/2]
root            28     2          0      0 0                   0 S [ksoftirqd/2]
root            29     2          0      0 0                   0 I [kworker/2:0-mm_percpu_wq]
root            31     2          0      0 0                   0 S [cpuhp/3]
root            32     2          0      0 0                   0 S [migration/3]
root            33     2          0      0 0                   0 S [ksoftirqd/3]
root            36     2          0      0 0                   0 S [cpuhp/4]
root            37     2          0      0 0                   0 S [migration/4]
root            38     2          0      0 0                   0 S [ksoftirqd/4]
root            41     2          0      0 0                   0 S [cpuhp/5]
root            42     2          0      0 0                   0 S [migration/5]
root            43     2          0      0 0                   0 S [ksoftirqd/5]
root            44     2          0      0 0                   0 I [kworker/5:0-mm_percpu_wq]
root            45     2          0      0 0                   0 I [kworker/5:0H-kblockd]
root            46     2          0      0 0                   0 I [inet_frag_wq]
root            47     2          0      0 0                   0 S [kauditd]
root            48     2          0      0 0                   0 S [khungtaskd]
root            49     2          0      0 0                   0 S [oom_reaper]
root            50     2          0      0 0                   0 I [writeback]
root            51     2          0      0 0                   0 S [kcompactd0]
root            52     2          0      0 0                   0 S [khugepaged]
root            53     2          0      0 0                   0 I [cryptd]
root            54     2          0      0 0                   0 I [kblockd]
root            55     2          0      0 0                   0 I [blkcg_punt_bio]
root            57     2          0      0 0                   0 I [kworker/4:1-virtio_vsock]
root            58     2          0      0 0                   0 I [edac-poller]
root            59     2          0      0 0                   0 I [devfreq_wq]
root            60     2          0      0 0                   0 S [watchdogd]
root            62     2          0      0 0                   0 S [kswapd0]
root            63     2          0      0 0                   0 I [kworker/u13:0-blk_crypto_wq]
root            64     2          0      0 0                   0 S [erofs_worker/0]
root            65     2          0      0 0                   0 S [erofs_worker/1]
root            66     2          0      0 0                   0 S [erofs_worker/2]
root            67     2          0      0 0                   0 S [erofs_worker/3]
root            68     2          0      0 0                   0 S [erofs_worker/4]
root            69     2          0      0 0                   0 S [erofs_worker/5]
root            70     2          0      0 0                   0 I [kthrotld]
root            71     2          0      0 0                   0 I [kworker/3:1-events]
root            73     2          0      0 0                   0 S [dmabuf-deferred-free-worker]
root            74     2          0      0 0                   0 I [uas]
root            75     2          0      0 0                   0 I [dm_bufio_cache]
root            76     2          0      0 0                   0 I [kworker/2:1H-kverityd]
root            77     2          0      0 0                   0 I [mld]
root            78     2          0      0 0                   0 I [ipv6_addrconf]
root            80     2          0      0 0                   0 I [kworker/2:2-events]
root            81     2          0      0 0                   0 I [kworker/1:1-events]
root            82     2          0      0 0                   0 S [khvcd]
root            83     2          0      0 0                   0 I [kworker/5:1-mm_percpu_wq]
root            84     2          0      0 0                   0 S [hwrng]
root            88     2          0      0 0                   0 S [jbd2/vdd1-8]
root            89     2          0      0 0                   0 I [ext4-rsv-conver]
root            90     2          0      0 0                   0 I [kdmflush/254:0]
root            91     2          0      0 0                   0 I [kdmflush/254:1]
root            92     2          0      0 0                   0 I [kdmflush/254:2]
root            93     2          0      0 0                   0 I [kdmflush/254:3]
root            94     2          0      0 0                   0 I [kdmflush/254:4]
root            95     2          0      0 0                   0 I [kdmflush/254:5]
root            96     2          0      0 0                   0 I [kverityd]
root            97     2          0      0 0                   0 I [kworker/1:1H-kverityd]
root            98     2          0      0 0                   0 I [ext4-rsv-conver]
root            99     2          0      0 0                   0 I [ext4-rsv-conver]
root           100     2          0      0 0                   0 I [ext4-rsv-conver]
root           101     2          0      0 0                   0 I [ext4-rsv-conver]
root           107     1   10877508   1564 0                   0 S init
root           108     1   10881836   2788 0                   0 S ueventd
root           118     2          0      0 0                   0 I [kdmflush/254:6]
root           120     2          0      0 0                   0 I [kdmflush/254:8]
root           122     2          0      0 0                   0 I [kdmflush/254:10]
root           123     2          0      0 0                   0 I [kdmflush/254:11]
