USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   10924572   3468 0                   0 S init
root             2     0          0      0 0                   0 S [kthreadd]
root             3     2          0      0 0                   0 I [rcu_gp]
root             4     2          0      0 0                   0 I [slub_flushwq]
root             5     2          0      0 0                   0 I [netns]
root             7     2          0      0 0                   0 I [kworker/0:0H-kverityd]
root             9     2          0      0 0                   0 I [mm_percpu_wq]
root            10     2          0      0 0                   0 I [kworker/u12:1-ext4-rsv-conversion]
root            11     2          0      0 0                   0 I [rcu_tasks_kthread]
root            12     2          0      0 0                   0 I [rcu_tasks_trace_kthread]
root            13     2          0      0 0                   0 S [ksoftirqd/0]
root            14     2          0      0 0                   0 I [rcu_preempt]
root            15     2          0      0 0                   0 S [rcub/0]
root            16     2          0      0 0                   0 S [rcu_exp_gp_kthread_worker]
root            17     2          0      0 0                   0 S [rcu_exp_par_gp_kthread_worker]
root            18     2          0      0 0                   0 S [migration/0]
root            19     2          0      0 0                   0 I [kworker/0:1-virtio_vsock]
root            20     2          0      0 0                   0 S [cpuhp/0]
root            21     2          0      0 0                   0 S [cpuhp/1]
root            22     2          0      0 0                   0 S [migration/1]
root            23     2          0      0 0                   0 S [ksoftirqd/1]
root            24     2          0      0 0                   0 I [kworker/1:0-mm_percpu_wq]
root            25     2          0      0 0                   0 I [kworker/1:0H-kverityd]
root            26     2          0      0 0                   0 S [cpuhp/2]
root            27     2          0      0 0                   0 S [migration/2]
root            28     2          0      0 0                   0 S [ksoftirqd/2]
root            29     2          0      0 0                   0 I [kworker/2:0-sock_diag_events]
root            30     2          0      0 0                   0 I [kworker/2:0H-kverityd]
root            31     2          0      0 0                   0 S [cpuhp/3]
root            32     2          0      0 0                   0 S [migration/3]
root            33     2          0      0 0                   0 S [ksoftirqd/3]
root            35     2          0      0 0                   0 I [kworker/3:0H-kverityd]
root            36     2          0      0 0                   0 S [cpuhp/4]
root            37     2          0      0 0                   0 S [migration/4]
root            38     2          0      0 0                   0 S [ksoftirqd/4]
root            39     2          0      0 0                   0 I [kworker/4:0-kdmflush/254:40]
root            40     2          0      0 0                   0 I [kworker/4:0H-kblockd]
root            41     2          0      0 0                   0 S [cpuhp/5]
root            42     2          0      0 0                   0 S [migration/5]
root            43     2          0      0 0                   0 S [ksoftirqd/5]
root            45     2          0      0 0                   0 I [kworker/5:0H-kverityd]
root            46     2          0      0 0                   0 I [inet_frag_wq]
root            47     2          0      0 0                   0 S [kauditd]
root            48     2          0      0 0                   0 S [khungtaskd]
root            49     2          0      0 0                   0 S [oom_reaper]
root            50     2          0      0 0                   0 I [writeback]
root            51     2          0      0 0                   0 S [kcompactd0]
root            52     2          0      0 0                   0 S [khugepaged]
root            53     2          0      0 0                   0 I [cryptd]
root            54     2          0      0 0                   0 I [kblockd]
root            55     2          0      0 0                   0 I [blkcg_punt_bio]
root            56     2          0      0 0                   0 I [edac-poller]
root            57     2          0      0 0                   0 I [devfreq_wq]
root            58     2          0      0 0                   0 S [watchdogd]
root            60     2          0      0 0                   0 I [kworker/0:1H-kverityd]
root            61     2          0      0 0                   0 I [kworker/u12:2-ext4-rsv-conversion]
root            62     2          0      0 0                   0 S [kswapd0]
root            63     2          0      0 0                   0 I [kworker/u13:0-fscrypt_read_queue]
root            64     2          0      0 0                   0 S [erofs_worker/0]
root            65     2          0      0 0                   0 S [erofs_worker/1]
root            66     2          0      0 0                   0 S [erofs_worker/2]
root            67     2          0      0 0                   0 S [erofs_worker/3]
root            68     2          0      0 0                   0 S [erofs_worker/4]
root            69     2          0      0 0                   0 S [erofs_worker/5]
root            70     2          0      0 0                   0 I [kthrotld]
root            71     2          0      0 0                   0 I [kworker/5:1-kdmflush/254:40]
root            72     2          0      0 0                   0 S [dmabuf-deferred-free-worker]
root            73     2          0      0 0                   0 I [uas]
root            74     2          0      0 0                   0 I [dm_bufio_cache]
root            75     2          0      0 0                   0 I [kworker/5:1H-kverityd]
root            76     2          0      0 0                   0 I [mld]
root            77     2          0      0 0                   0 I [ipv6_addrconf]
root            79     2          0      0 0                   0 I [kworker/5:2-cgroup_destroy]
root            81     2          0      0 0                   0 S [khvcd]
root            82     2          0      0 0                   0 I [kworker/3:1-mm_percpu_wq]
root            83     2          0      0 0                   0 S [hwrng]
root            88     2          0      0 0                   0 S [jbd2/vdd1-8]
root            89     2          0      0 0                   0 I [ext4-rsv-conver]
root            90     2          0      0 0                   0 I [kdmflush/254:0]
root            91     2          0      0 0                   0 I [kdmflush/254:1]
root            92     2          0      0 0                   0 I [kdmflush/254:2]
root            93     2          0      0 0                   0 I [kdmflush/254:3]
root            94     2          0      0 0                   0 I [kdmflush/254:4]
root            95     2          0      0 0                   0 I [kdmflush/254:5]
root            96     2          0      0 0                   0 I [kverityd]
root            97     2          0      0 0                   0 I [ext4-rsv-conver]
root            98     2          0      0 0                   0 I [kworker/0:2H-kverityd]
root            99     2          0      0 0                   0 I [kworker/0:3H-kblockd]
root           100     2          0      0 0                   0 I [kworker/0:4H-kverityd]
root           101     2          0      0 0                   0 I [ext4-rsv-conver]
root           102     2          0      0 0                   0 I [ext4-rsv-conver]
root           103     2          0      0 0                   0 I [ext4-rsv-conver]
root           104     2          0      0 0                   0 I [kworker/3:1H-kblockd]
root           105     2          0      0 0                   0 I [kworker/2:1H-kverityd]
root           107     1   10844740   1472 0                   0 S init
root           108     2          0      0 0                   0 I [kworker/4:1H-kverityd]
root           109     1   10883884   2940 0                   0 S ueventd
root           111     2          0      0 0                   0 I [kworker/1:1H-kverityd]
root           119     2          0      0 0                   0 I [kdmflush/254:6]
root           121     2          0      0 0                   0 I [kdmflush/254:8]
root           123     2          0      0 0                   0 I [kdmflush/254:10]
root           124     2          0      0 0                   0 I [kdmflush/254:11]
root           127     2          0      0 0                   0 I [kdmflush/254:14]
root           129     2          0      0 0                   0 I [kdmflush/254:16]
root           131     2          0      0 0                   0 I [kdmflush/254:18]
root           133     2          0      0 0                   0 I [kdmflush/254:20]
root           134     2          0      0 0                   0 I [kdmflush/254:21]
root           136     2          0      0 0                   0 I [kdmflush/254:23]
root           137     2          0      0 0                   0 I [kdmflush/254:24]
root           139     2          0      0 0                   0 I [kdmflush/254:26]
root           140     2          0      0 0                   0 I [kdmflush/254:27]
root           141     2          0      0 0                   0 I [kdmflush/254:28]
root           142     2          0      0 0                   0 I [kdmflush/254:29]
root           144     2          0      0 0                   0 I [kdmflush/254:31]
root           145     2          0      0 0                   0 I [kdmflush/254:32]
root           146     2          0      0 0                   0 I [kdmflush/254:33]
root           147     2          0      0 0                   0 I [kdmflush/254:34]
root           148     2          0      0 0                   0 I [kdmflush/254:35]
root           149     2          0      0 0                   0 I [kdmflush/254:36]
root           150     2          0      0 0                   0 I [kdmflush/254:37]
root           151     2          0      0 0                   0 I [kdmflush/254:38]
root           152     2          0      0 0                   0 I [kdmflush/254:39]
root           157     2          0      0 0                   0 I [ext4-rsv-conver]
root           158     2          0      0 0                   0 I [ext4-rsv-conver]
root           159     2          0      0 0                   0 I [ext4-rsv-conver]
root           160     2          0      0 0                   0 I [ext4-rsv-conver]
root           165     2          0      0 0                   0 I [kworker/0:2-virtio_vsock]
prng_seeder    166     1   10890908   3888 0                   0 S prng_seeder
root           168     2          0      0 0                   0 I [kworker/1:2-events]
root           169     2          0      0 0                   0 S [sugov:0]
root           170     2          0      0 0                   0 S [sugov:1]
root           171     2          0      0 0                   0 S [sugov:2]
root           172     2          0      0 0                   0 S [sugov:3]
root           173     2          0      0 0                   0 S [sugov:4]
root           174     2          0      0 0                   0 S [sugov:5]
root           175     2          0      0 0                   0 S [irq/18-goldfish_pipe_dprctd]
logd           176     1   10821644   4508 0                   0 S logd
lmkd           177     1   10810652   2992 0                   0 S lmkd
system         178     1   10911696   3348 0                   0 S servicemanager
root           179     2          0      0 0                   0 S [psimon]
system         186     1   10862240   2116 0                   0 S hwservicemanager
root           189     1   10848192   1504 0                   0 S qemu-props
root           190     2          0      0 0                   0 I [kworker/2:2-events]
root           191     2          0      0 0                   0 I [cfg80211]
root           192     2          0      0 0                   0 I [kworker/3:2-events]
root           193     1   10943012   3612 0                   0 S vold
root           195     2          0      0 0                   0 I [kdmflush/254:40]
system         200     1   10873636   3540 0                   0 S android.system.suspend-service
keystore       201     1   10916856   6428 0                   0 S keystore2
system         202     1   10835836   2328 0                   0 S android.hardware.atrace@1.0-service
nobody         205     1   10908212   3432 0                   0 S android.hardware.security.keymint-service
root           209     2          0      0 0                   0 I [usbip_event]
root           217     2          0      0 0                   0 I [blk_crypto_wq]
root           219     2          0      0 0                   0 I [kworker/u13:1-blk_crypto_wq]
root           220     2          0      0 0                   0 I [kworker/u13:2-fscrypt_read_queue]
root           221     2          0      0 0                   0 I [kworker/u13:3-fscrypt_read_queue]
root           226     2          0      0 0                   0 S [jbd2/dm-40-8]
root           227     2          0      0 0                   0 I [ext4-rsv-conver]
tombstoned     232     1   10847616   1804 0                   0 S tombstoned
root           268     2          0      0 0                   0 I [ext4-rsv-conver]
root           271     2          0      0 0                   0 I [ext4-rsv-conver]
root           277     2          0      0 0                   0 I [ext4-rsv-conver]
root           278     2          0      0 0                   0 I [ext4-rsv-conver]
root           279     2          0      0 0                   0 I [kverityd]
root           280     2          0      0 0                   0 I [ext4-rsv-conver]
root           281     2          0      0 0                   0 I [ext4-rsv-conver]
root           282     2          0      0 0                   0 I [ext4-rsv-conver]
root           283     2          0      0 0                   0 I [ext4-rsv-conver]
root           284     2          0      0 0                   0 I [ext4-rsv-conver]
root           285     2          0      0 0                   0 I [kworker/u12:3-writeback]
root           286     2          0      0 0                   0 I [kverityd]
root           287     2          0      0 0                   0 I [ext4-rsv-conver]
root           288     2          0      0 0                   0 I [kverityd]
root           289     2          0      0 0                   0 I [kverityd]
root           290     2          0      0 0                   0 I [kverityd]
root           291     2          0      0 0                   0 I [kverityd]
root           292     2          0      0 0                   0 I [kverityd]
root           293     2          0      0 0                   0 I [kverityd]
root           294     2          0      0 0                   0 I [ext4-rsv-conver]
root           295     2          0      0 0                   0 I [kverityd]
root           296     2          0      0 0                   0 I [ext4-rsv-conver]
root           297     2          0      0 0                   0 I [kworker/u12:4-loop18]
root           299     2          0      0 0                   0 I [kverityd]
root           300     2          0      0 0                   0 I [ext4-rsv-conver]
root           301     2          0      0 0                   0 I [ext4-rsv-conver]
root           302     2          0      0 0                   0 I [kverityd]
root           303     2          0      0 0                   0 I [ext4-rsv-conver]
root           304     2          0      0 0                   0 I [ext4-rsv-conver]
root           305     2          0      0 0                   0 I [ext4-rsv-conver]
root           306     2          0      0 0                   0 I [kverityd]
